Gene,Non-unique Gene name,Annotation,KP1766,KP1768,NJST258_1,NR5632,SRR7345603
iclR,iclR,Transcriptional repressor IclR,MFCJNMFM_04821,JIEPOILB_04825,MHMAIFBA_04783,KGLDIDPM_04825,CFOCILDN_03602
ftsQ,ftsQ,Cell division protein FtsQ,MFCJNMFM_04232,JIEPOILB_04236,MHMAIFBA_04283,KGLDIDPM_04236,CFOCILDN_01165
aptA,aptA,Apulose-4-phosphate transketolase subunit A,MFCJNMFM_03696,JIEPOILB_03700,MHMAIFBA_03685,KGLDIDPM_03700,CFOCILDN_03635
amiD,amiD,N-acetylmuramoyl-L-alanine amidase AmiD,MFCJNMFM_03379,JIEPOILB_03383,MHMAIFBA_03339,KGLDIDPM_03383,CFOCILDN_02024
efeU,efeU,Ferrous iron permease EfeU,MFCJNMFM_03236,JIEPOILB_02024,MHMAIFBA_03204,KGLDIDPM_03240,CFOCILDN_03439
cobB,cobB,NAD-dependent protein deacylase,MFCJNMFM_03164,JIEPOILB_02096,MHMAIFBA_03132,KGLDIDPM_03168,CFOCILDN_03367
group_565,uup_1,ATP-binding protein Uup,MFCJNMFM_02296,JIEPOILB_02965,MHMAIFBA_02248,KGLDIDPM_02298,CFOCILDN_00777
fkpA,fkpA,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA,MFCJNMFM_00428,JIEPOILB_00428,MHMAIFBA_00379,KGLDIDPM_00427,CFOCILDN_04522
group_561,,hypothetical protein,MFCJNMFM_04759,JIEPOILB_04763,MHMAIFBA_04721,KGLDIDPM_04763,CFOCILDN_03542
frlD,frlD,Fructosamine kinase FrlD,MFCJNMFM_04627,JIEPOILB_04631,MHMAIFBA_04578,KGLDIDPM_04631,CFOCILDN_02922
ddpC_3,ddpC_3,putative DD-dipeptide transport system permease protein DdpC,MFCJNMFM_03716,JIEPOILB_03720,MHMAIFBA_03705,KGLDIDPM_03720,CFOCILDN_03655
group_560,,hypothetical protein,MFCJNMFM_02966,JIEPOILB_02294,MHMAIFBA_02932,KGLDIDPM_02968,CFOCILDN_00108
madC,madC,Malonyl-S-ACP:biotin-protein carboxyltransferase MADC,MFCJNMFM_02794,JIEPOILB_02466,MHMAIFBA_02699,KGLDIDPM_02796,CFOCILDN_00280
ppsR,ppsR,Phosphoenolpyruvate synthase regulatory protein,MFCJNMFM_02177,JIEPOILB_03084,MHMAIFBA_02129,KGLDIDPM_02180,CFOCILDN_00892
group_559,,hypothetical protein,MFCJNMFM_02146,JIEPOILB_03115,MHMAIFBA_02098,KGLDIDPM_02149,CFOCILDN_00923
bglG,bglG,Cryptic beta-glucoside bgl operon antiterminator,MFCJNMFM_01712,JIEPOILB_01712,MHMAIFBA_01678,KGLDIDPM_01709,CFOCILDN_03283
yeiG,yeiG,S-formylglutathione hydrolase YeiG,MFCJNMFM_01699,JIEPOILB_01699,MHMAIFBA_01664,KGLDIDPM_01696,CFOCILDN_03270
cysT,cysT,Sulfate transport system permease protein CysT,MFCJNMFM_01442,JIEPOILB_01443,MHMAIFBA_01483,KGLDIDPM_01440,CFOCILDN_03077
nikC,nikC,Nickel transport system permease protein NikC,MFCJNMFM_00307,JIEPOILB_00307,MHMAIFBA_00259,KGLDIDPM_00306,CFOCILDN_02753
group_558,,hypothetical protein,MFCJNMFM_00029,JIEPOILB_00029,MHMAIFBA_00029,KGLDIDPM_00029,CFOCILDN_03787
group_556,,hypothetical protein,MFCJNMFM_01345,JIEPOILB_01346,MHMAIFBA_01339,KGLDIDPM_01343,CFOCILDN_03173
fdhD,fdhD,Sulfur carrier protein FdhD,MFCJNMFM_05030,JIEPOILB_05033,MHMAIFBA_04988,KGLDIDPM_05033,CFOCILDN_03875
rhaS_9,rhaS_9,HTH-type transcriptional activator RhaS,MFCJNMFM_05006,JIEPOILB_05009,MHMAIFBA_04964,KGLDIDPM_05009,CFOCILDN_03851
dppD_2,dppD_2,Dipeptide transport ATP-binding protein DppD,MFCJNMFM_03717,JIEPOILB_03721,MHMAIFBA_03706,KGLDIDPM_03721,CFOCILDN_03656
group_555,,hypothetical protein,MFCJNMFM_02327,JIEPOILB_02934,MHMAIFBA_02277,KGLDIDPM_02329,CFOCILDN_00746
ydiB_1,ydiB_1,Quinate/shikimate dehydrogenase,MFCJNMFM_02212,JIEPOILB_03049,MHMAIFBA_02165,KGLDIDPM_02215,CFOCILDN_00857
cpo,cpo,Non-heme chloroperoxidase,MFCJNMFM_01831,JIEPOILB_01837,MHMAIFBA_01807,KGLDIDPM_01834,CFOCILDN_02199
group_553,,hypothetical protein,MFCJNMFM_02575,JIEPOILB_02685,MHMAIFBA_02523,KGLDIDPM_02577,CFOCILDN_00499
eutJ,eutJ,Ethanolamine utilization protein EutJ,MFCJNMFM_01425,JIEPOILB_01426,MHMAIFBA_01467,KGLDIDPM_01423,CFOCILDN_03093
srlR_2,srlR_2,Glucitol operon repressor,MFCJNMFM_00632,JIEPOILB_00633,MHMAIFBA_00584,KGLDIDPM_00632,CFOCILDN_01809
fbaA_2,fbaA_2,putative fructose-bisphosphate aldolase,MFCJNMFM_05025,JIEPOILB_05028,MHMAIFBA_04983,KGLDIDPM_05028,CFOCILDN_03870
outC,outC,Type II secretion system protein C,MFCJNMFM_04168,JIEPOILB_04172,MHMAIFBA_04216,KGLDIDPM_04172,CFOCILDN_01229
group_549,,hypothetical protein,MFCJNMFM_04122,JIEPOILB_04126,MHMAIFBA_04170,KGLDIDPM_04126,CFOCILDN_01275
phnC,phnC,Phosphate-import ATP-binding protein PhnC,MFCJNMFM_04016,JIEPOILB_04020,MHMAIFBA_04082,KGLDIDPM_04020,CFOCILDN_02672
group_548,,hypothetical protein,MFCJNMFM_02986,JIEPOILB_02274,MHMAIFBA_02952,KGLDIDPM_02989,CFOCILDN_00088
citG_1,citG_1,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,MFCJNMFM_02792,JIEPOILB_02468,MHMAIFBA_02697,KGLDIDPM_02794,CFOCILDN_00282
nimR_4,nimR_4,HTH-type transcriptional regulator NimR,MFCJNMFM_02762,JIEPOILB_02498,MHMAIFBA_02665,KGLDIDPM_02764,CFOCILDN_00312
purU,purU,Formyltetrahydrofolate deformylase,MFCJNMFM_02132,JIEPOILB_03129,MHMAIFBA_02084,KGLDIDPM_02135,CFOCILDN_00937
group_546,,hypothetical protein,MFCJNMFM_01358,JIEPOILB_01359,MHMAIFBA_01352,KGLDIDPM_01356,CFOCILDN_03160
rlmJ,rlmJ,Ribosomal RNA large subunit methyltransferase J,MFCJNMFM_00294,JIEPOILB_00294,MHMAIFBA_00246,KGLDIDPM_00293,CFOCILDN_02766
rhaR_5,rhaR_5,HTH-type transcriptional activator RhaR,MFCJNMFM_05005,JIEPOILB_05008,MHMAIFBA_04963,KGLDIDPM_05008,CFOCILDN_03850
araC_1,araC_1,Arabinose operon regulatory protein,MFCJNMFM_04266,JIEPOILB_04270,MHMAIFBA_04317,KGLDIDPM_04270,CFOCILDN_01131
sqwG,sqwG,6-deoxy-6-sulfo-D-fructose transketolase subunit SqwG,MFCJNMFM_03454,JIEPOILB_03458,MHMAIFBA_03461,KGLDIDPM_03458,CFOCILDN_02141
potI,potI,Putrescine transport system permease protein PotI,MFCJNMFM_03392,JIEPOILB_03396,MHMAIFBA_03352,KGLDIDPM_03396,CFOCILDN_02036
gltR_2,gltR_2,HTH-type transcriptional regulator GltR,MFCJNMFM_02693,JIEPOILB_02567,MHMAIFBA_02627,KGLDIDPM_02695,CFOCILDN_00380
nhoA,nhoA,Arylamine N-acetyltransferase,MFCJNMFM_02458,JIEPOILB_02802,MHMAIFBA_02403,KGLDIDPM_02460,CFOCILDN_00616
queF,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase,MFCJNMFM_01042,JIEPOILB_01042,MHMAIFBA_01039,KGLDIDPM_01041,CFOCILDN_01405
ugpE,ugpE,sn-glycerol-3-phosphate transport system permease protein UgpE,MFCJNMFM_00348,JIEPOILB_00348,MHMAIFBA_00299,KGLDIDPM_00347,CFOCILDN_02713
qorB,qorB,Quinone oxidoreductase 2,MFCJNMFM_04569,JIEPOILB_04573,MHMAIFBA_04631,KGLDIDPM_04573,CFOCILDN_02979
apaH,apaH,Bis(5'-nucleosyl)-tetraphosphatase symmetrical,MFCJNMFM_04283,JIEPOILB_04287,MHMAIFBA_04334,KGLDIDPM_04287,CFOCILDN_01114
ddpC_2,ddpC_2,putative DD-dipeptide transport system permease protein DdpC,MFCJNMFM_02485,JIEPOILB_02775,MHMAIFBA_02429,KGLDIDPM_02487,CFOCILDN_00589
prmC,prmC,Release factor glutamine methyltransferase,MFCJNMFM_02105,JIEPOILB_03156,MHMAIFBA_02057,KGLDIDPM_02108,CFOCILDN_02406
murR,murR,HTH-type transcriptional regulator MurR,MFCJNMFM_01325,JIEPOILB_01326,MHMAIFBA_01319,KGLDIDPM_01323,CFOCILDN_03193
mntB_2,mntB_2,Manganese transport system membrane protein MntB,MFCJNMFM_01110,JIEPOILB_01110,MHMAIFBA_01098,KGLDIDPM_01109,CFOCILDN_01338
folP,folP,Dihydropteroate synthase,MFCJNMFM_00587,JIEPOILB_00588,MHMAIFBA_00539,KGLDIDPM_00587,CFOCILDN_01854
murI,murI,Glutamate racemase,MFCJNMFM_04964,JIEPOILB_04967,MHMAIFBA_04922,KGLDIDPM_04967,CFOCILDN_03809
manZ_3,manZ_3,PTS system mannose-specific EIID component,MFCJNMFM_04380,JIEPOILB_04384,MHMAIFBA_04431,KGLDIDPM_04384,CFOCILDN_01019
tsf,tsf,Elongation factor Ts,MFCJNMFM_04146,JIEPOILB_04150,MHMAIFBA_04194,KGLDIDPM_04150,CFOCILDN_01251
tauD,tauD,Alpha-ketoglutarate-dependent taurine dioxygenase,MFCJNMFM_03991,JIEPOILB_03995,MHMAIFBA_04057,KGLDIDPM_03995,CFOCILDN_02647
ganQ,ganQ,Galactooligosaccharides transport system permease protein GanQ,MFCJNMFM_03875,JIEPOILB_03879,MHMAIFBA_03941,KGLDIDPM_03879,CFOCILDN_02532
tcyJ_4,tcyJ_4,L-cystine-binding protein TcyJ,MFCJNMFM_03724,JIEPOILB_03728,MHMAIFBA_03713,KGLDIDPM_03728,CFOCILDN_03663
entB,entB,Enterobactin synthase component B,MFCJNMFM_03682,JIEPOILB_03686,MHMAIFBA_03671,KGLDIDPM_03686,CFOCILDN_03621
group_541,,hypothetical protein,MFCJNMFM_02495,JIEPOILB_02765,MHMAIFBA_02439,KGLDIDPM_02497,CFOCILDN_00579
ispE,ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,MFCJNMFM_02101,JIEPOILB_03160,MHMAIFBA_02053,KGLDIDPM_02104,CFOCILDN_02402
manZ_1,manZ_1,PTS system mannose-specific EIID component,MFCJNMFM_02017,JIEPOILB_03244,MHMAIFBA_01952,KGLDIDPM_02020,CFOCILDN_02318
glpF_1,glpF_1,Glycerol uptake facilitator protein,MFCJNMFM_00100,JIEPOILB_00099,MHMAIFBA_00099,KGLDIDPM_00099,CFOCILDN_04350
ftsN,ftsN,Cell division protein FtsN,MFCJNMFM_04992,JIEPOILB_04995,MHMAIFBA_04950,KGLDIDPM_04995,CFOCILDN_03837
ulaE,ulaE,L-ribulose-5-phosphate 3-epimerase UlaE,MFCJNMFM_04555,JIEPOILB_04559,MHMAIFBA_04645,KGLDIDPM_04559,CFOCILDN_02993
ampE,ampE,Protein AmpE,MFCJNMFM_04216,JIEPOILB_04220,MHMAIFBA_04267,KGLDIDPM_04220,CFOCILDN_01181
panC,panC,Pantothenate synthetase,MFCJNMFM_04189,JIEPOILB_04193,MHMAIFBA_04237,KGLDIDPM_04193,CFOCILDN_01208
cnoX,cnoX,Chaperedoxin,MFCJNMFM_03834,JIEPOILB_03838,MHMAIFBA_03900,KGLDIDPM_03838,CFOCILDN_02491
manZ_2,manZ_2,PTS system mannose-specific EIID component,MFCJNMFM_03744,JIEPOILB_03748,MHMAIFBA_03735,KGLDIDPM_03748,CFOCILDN_03682
yeaE,yeaE,Methylglyoxal reductase YeaE,MFCJNMFM_03086,JIEPOILB_02174,MHMAIFBA_03064,KGLDIDPM_03090,CFOCILDN_04320
dsdC_2,dsdC_2,HTH-type transcriptional regulator DsdC,MFCJNMFM_02975,JIEPOILB_02285,MHMAIFBA_02941,KGLDIDPM_02977,CFOCILDN_00099
kdsA,kdsA,2-dehydro-3-deoxyphosphooctonate aldolase,MFCJNMFM_02108,JIEPOILB_03153,MHMAIFBA_02060,KGLDIDPM_02111,CFOCILDN_02409
nfo,nfo,Endonuclease 4,MFCJNMFM_01694,JIEPOILB_01694,MHMAIFBA_01659,KGLDIDPM_01691,CFOCILDN_03265
mntB_1,mntB_1,Manganese transport system membrane protein MntB,MFCJNMFM_01109,JIEPOILB_01109,MHMAIFBA_01097,KGLDIDPM_01108,CFOCILDN_01339
gatY,gatY,D-tagatose-16-bisphosphate aldolase subunit GatY,MFCJNMFM_00631,JIEPOILB_00632,MHMAIFBA_00583,KGLDIDPM_00631,CFOCILDN_01810
rapZ,rapZ,RNase adapter protein RapZ,MFCJNMFM_00559,JIEPOILB_00560,MHMAIFBA_00511,KGLDIDPM_00559,CFOCILDN_01882
rpoH,rpoH,RNA polymerase sigma factor RpoH,MFCJNMFM_00332,JIEPOILB_00332,MHMAIFBA_00284,KGLDIDPM_00331,CFOCILDN_02728
group_538,,hypothetical protein,MFCJNMFM_00080,JIEPOILB_00080,MHMAIFBA_00080,KGLDIDPM_00080,CFOCILDN_04369
group_535,,hypothetical protein,MFCJNMFM_04758,JIEPOILB_04762,MHMAIFBA_04720,KGLDIDPM_04762,CFOCILDN_03541
hexR_4,hexR_4,HTH-type transcriptional regulator HexR,MFCJNMFM_04644,JIEPOILB_04648,MHMAIFBA_04560,KGLDIDPM_04648,CFOCILDN_02905
hpcB,hpcB,34-dihydroxyphenylacetate 23-dioxygenase,MFCJNMFM_04407,JIEPOILB_04411,MHMAIFBA_04456,KGLDIDPM_04411,CFOCILDN_00992
focA,focA,Formate channel FocA,MFCJNMFM_03347,JIEPOILB_03351,MHMAIFBA_03307,KGLDIDPM_03351,CFOCILDN_01992
potB,potB,Spermidine/putrescine transport system permease protein PotB,MFCJNMFM_03149,JIEPOILB_02111,MHMAIFBA_03126,KGLDIDPM_03153,CFOCILDN_04258
dmsC_1,dmsC_1,Anaerobic dimethyl sulfoxide reductase chain C,MFCJNMFM_02777,JIEPOILB_02483,MHMAIFBA_02681,KGLDIDPM_02779,CFOCILDN_00297
menB,menB,14-dihydroxy-2-naphthoyl-CoA synthase,MFCJNMFM_01630,JIEPOILB_01631,MHMAIFBA_01595,KGLDIDPM_01628,CFOCILDN_04104
sseA,sseA,3-mercaptopyruvate sulfurtransferase,MFCJNMFM_01359,JIEPOILB_01360,MHMAIFBA_01353,KGLDIDPM_01357,CFOCILDN_03159
mscS,mscS,Small-conductance mechanosensitive channel,MFCJNMFM_00819,JIEPOILB_00820,MHMAIFBA_00836,KGLDIDPM_00819,CFOCILDN_01622
group_530,,hypothetical protein,MFCJNMFM_05041,JIEPOILB_05044,MHMAIFBA_04999,KGLDIDPM_05044,CFOCILDN_03886
pldA,pldA,Phospholipase A1,MFCJNMFM_04904,JIEPOILB_04907,MHMAIFBA_04863,KGLDIDPM_04907,CFOCILDN_04200
speE,speE,Polyamine aminopropyltransferase,MFCJNMFM_04202,JIEPOILB_04206,MHMAIFBA_04253,KGLDIDPM_04206,CFOCILDN_01195
group_529,,putative protein,MFCJNMFM_04083,JIEPOILB_04087,MHMAIFBA_04133,KGLDIDPM_04087,CFOCILDN_04026
fba,fba,Fructose-bisphosphate aldolase,MFCJNMFM_03955,JIEPOILB_03959,MHMAIFBA_04021,KGLDIDPM_03959,CFOCILDN_02612
group_528,,hypothetical protein,MFCJNMFM_03230,JIEPOILB_02030,MHMAIFBA_03197,KGLDIDPM_03234,CFOCILDN_03433
pdxY,pdxY,Pyridoxal kinase PdxY,MFCJNMFM_02363,JIEPOILB_02898,MHMAIFBA_02312,KGLDIDPM_02365,CFOCILDN_00710
allS,allS,HTH-type transcriptional activator AllS,MFCJNMFM_00310,JIEPOILB_00310,MHMAIFBA_00262,KGLDIDPM_00309,CFOCILDN_02750
phnU,phnU,Putative 2-aminoethylphosphonate transport system permease protein PhnU,MFCJNMFM_00048,JIEPOILB_00048,MHMAIFBA_00048,KGLDIDPM_00048,CFOCILDN_03806
atpG,atpG,ATP synthase gamma chain,MFCJNMFM_05083,JIEPOILB_05086,MHMAIFBA_05040,KGLDIDPM_05086,CFOCILDN_03736
group_524,,hypothetical protein,MFCJNMFM_04499,JIEPOILB_04503,MHMAIFBA_04699,KGLDIDPM_04503,CFOCILDN_03047
hexR_2,hexR_2,HTH-type transcriptional regulator HexR,MFCJNMFM_04387,JIEPOILB_04391,MHMAIFBA_04442,KGLDIDPM_04391,CFOCILDN_01012
aroE_2,aroE_2,Shikimate dehydrogenase (NADP(+)),MFCJNMFM_04254,JIEPOILB_04258,MHMAIFBA_04305,KGLDIDPM_04258,CFOCILDN_01143
tesB,tesB,Acyl-CoA thioesterase 2,MFCJNMFM_03889,JIEPOILB_03893,MHMAIFBA_03955,KGLDIDPM_03893,CFOCILDN_02546
dmsC_2,dmsC_2,Anaerobic dimethyl sulfoxide reductase chain C,MFCJNMFM_03351,JIEPOILB_03355,MHMAIFBA_03311,KGLDIDPM_03355,CFOCILDN_01996
cho,cho,Excinuclease cho,MFCJNMFM_03052,JIEPOILB_02208,MHMAIFBA_03022,KGLDIDPM_03055,CFOCILDN_00022
rnm,rnm,5'-3' exoribonuclease Rnm,MFCJNMFM_03019,JIEPOILB_02241,MHMAIFBA_02985,KGLDIDPM_03022,CFOCILDN_00055
oppD_1,oppD_1,Oligopeptide transport ATP-binding protein OppD,MFCJNMFM_01756,JIEPOILB_01755,MHMAIFBA_01721,KGLDIDPM_01752,CFOCILDN_03326
mntB_5,mntB_5,Manganese transport system membrane protein MntB,MFCJNMFM_01157,JIEPOILB_01157,MHMAIFBA_01145,KGLDIDPM_01156,CFOCILDN_01291
rsmI,rsmI,Ribosomal RNA small subunit methyltransferase I,MFCJNMFM_00620,JIEPOILB_00621,MHMAIFBA_00572,KGLDIDPM_00620,CFOCILDN_01821
yicC,yicC,Endoribonuclease YicC,MFCJNMFM_00168,JIEPOILB_00168,MHMAIFBA_00119,KGLDIDPM_00167,CFOCILDN_02891
group_522,,hypothetical protein,MFCJNMFM_00061,JIEPOILB_00061,MHMAIFBA_00062,KGLDIDPM_00061,CFOCILDN_04388
ubiA,ubiA,4-hydroxybenzoate octaprenyltransferase,MFCJNMFM_04789,JIEPOILB_04793,MHMAIFBA_04752,KGLDIDPM_04793,CFOCILDN_03572
folD,folD,Bifunctional protein FolD protein,MFCJNMFM_03821,JIEPOILB_03825,MHMAIFBA_03886,KGLDIDPM_03825,CFOCILDN_02477
group_519,,hypothetical protein,MFCJNMFM_03808,JIEPOILB_03812,MHMAIFBA_03804,KGLDIDPM_03812,CFOCILDN_02464
group_518,,hypothetical protein,MFCJNMFM_03749,JIEPOILB_03753,MHMAIFBA_03740,KGLDIDPM_03753,CFOCILDN_03687
group_517,,hypothetical protein,MFCJNMFM_02922,JIEPOILB_02338,MHMAIFBA_02827,KGLDIDPM_02924,CFOCILDN_00152
mhpC,mhpC,2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase,MFCJNMFM_02220,JIEPOILB_03041,MHMAIFBA_02173,KGLDIDPM_02223,CFOCILDN_00849
yeiE,yeiE,putative HTH-type transcriptional regulator YeiE,MFCJNMFM_01696,JIEPOILB_01696,MHMAIFBA_01661,KGLDIDPM_01693,CFOCILDN_03267
pdxK,pdxK,Pyridoxine/pyridoxal/pyridoxamine kinase,MFCJNMFM_01448,JIEPOILB_01449,MHMAIFBA_01489,KGLDIDPM_01446,CFOCILDN_03071
yghU,yghU,Disulfide-bond oxidoreductase YghU,MFCJNMFM_00760,JIEPOILB_00761,MHMAIFBA_00711,KGLDIDPM_00760,CFOCILDN_01682
group_516,,hypothetical protein,MFCJNMFM_04692,JIEPOILB_04696,MHMAIFBA_04527,KGLDIDPM_04696,CFOCILDN_04670
rob_2,rob_2,Transcriptional regulator Rob,MFCJNMFM_04334,JIEPOILB_04338,MHMAIFBA_04385,KGLDIDPM_04338,CFOCILDN_01063
citE,citE,Citrate lyase subunit beta,MFCJNMFM_04293,JIEPOILB_04297,MHMAIFBA_04344,KGLDIDPM_04297,CFOCILDN_01104
group_515,,hypothetical protein,MFCJNMFM_04022,JIEPOILB_04026,MHMAIFBA_04088,KGLDIDPM_04026,CFOCILDN_04087
sucD,sucD,Succinate--CoA ligase [ADP-forming] subunit alpha,MFCJNMFM_03608,JIEPOILB_03612,MHMAIFBA_03547,KGLDIDPM_03612,CFOCILDN_04624
ytbE,ytbE,putative oxidoreductase YtbE,MFCJNMFM_02962,JIEPOILB_02298,MHMAIFBA_02928,KGLDIDPM_02964,CFOCILDN_00112
group_514,,hypothetical protein,MFCJNMFM_02510,JIEPOILB_02750,MHMAIFBA_02455,KGLDIDPM_02512,CFOCILDN_00564
rhaR_1,rhaR_1,HTH-type transcriptional activator RhaR,MFCJNMFM_02400,JIEPOILB_02861,MHMAIFBA_02349,KGLDIDPM_02402,CFOCILDN_00673
yebZ,yebZ,Inner membrane protein YebZ,MFCJNMFM_01993,JIEPOILB_03267,MHMAIFBA_01929,KGLDIDPM_01996,CFOCILDN_02295
aceR,aceR,HTH-type transcriptional regulator AceR,MFCJNMFM_00902,JIEPOILB_00903,MHMAIFBA_00919,KGLDIDPM_00902,CFOCILDN_01540
group_513,,putative HTH-type transcriptional regulator,MFCJNMFM_00742,JIEPOILB_00743,MHMAIFBA_00693,KGLDIDPM_00742,CFOCILDN_01700
cfxP,cfxP,Phosphoribulokinase plasmid,MFCJNMFM_00419,JIEPOILB_00419,MHMAIFBA_00370,KGLDIDPM_00418,CFOCILDN_04513
ugpA_2,ugpA_2,sn-glycerol-3-phosphate transport system permease protein UgpA,MFCJNMFM_04654,JIEPOILB_04658,MHMAIFBA_04550,KGLDIDPM_04658,CFOCILDN_02895
group_511,,hypothetical protein,MFCJNMFM_04018,JIEPOILB_04022,MHMAIFBA_04084,KGLDIDPM_04022,CFOCILDN_02674
group_510,,hypothetical protein,MFCJNMFM_02617,JIEPOILB_02643,MHMAIFBA_02550,KGLDIDPM_02619,CFOCILDN_00457
mepH,mepH,Murein DD-endopeptidase MepH,MFCJNMFM_02344,JIEPOILB_02917,MHMAIFBA_02293,KGLDIDPM_02346,CFOCILDN_00729
benM,benM,HTH-type transcriptional regulator BenM,MFCJNMFM_02284,JIEPOILB_02977,MHMAIFBA_02235,KGLDIDPM_02286,CFOCILDN_00789
group_509,,putative ketoamine kinase,MFCJNMFM_02153,JIEPOILB_03108,MHMAIFBA_02105,KGLDIDPM_02156,CFOCILDN_00916
amiA,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,MFCJNMFM_01436,JIEPOILB_01437,MHMAIFBA_01477,KGLDIDPM_01434,CFOCILDN_03083
group_507,,6-deoxy-6-sulfogluconolactonase,MFCJNMFM_01227,JIEPOILB_01227,MHMAIFBA_01283,KGLDIDPM_01225,CFOCILDN_03991
hypB,hypB,Hydrogenase maturation factor HypB,MFCJNMFM_01126,JIEPOILB_01126,MHMAIFBA_01114,KGLDIDPM_01125,CFOCILDN_01322
rluF,rluF,Dual-specificity RNA pseudouridine synthase RluF,MFCJNMFM_04810,JIEPOILB_04814,MHMAIFBA_04772,KGLDIDPM_04814,CFOCILDN_03591
ykwC,ykwC,putative oxidoreductase YkwC,MFCJNMFM_02653,JIEPOILB_02607,MHMAIFBA_02587,KGLDIDPM_02655,CFOCILDN_00420
glnQ_1,glnQ_1,Glutamine transport ATP-binding protein GlnQ,MFCJNMFM_02065,JIEPOILB_03196,MHMAIFBA_01999,KGLDIDPM_02068,CFOCILDN_02366
cysW,cysW,Sulfate transport system permease protein CysW,MFCJNMFM_01443,JIEPOILB_01444,MHMAIFBA_01484,KGLDIDPM_01441,CFOCILDN_03076
group_504,,hypothetical protein,MFCJNMFM_01404,JIEPOILB_01405,MHMAIFBA_01446,KGLDIDPM_01402,CFOCILDN_03114
lgt,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,MFCJNMFM_00934,JIEPOILB_00935,MHMAIFBA_00951,KGLDIDPM_00934,CFOCILDN_01508
group_503,yqhC_2,HTH-type transcriptional regulator YqhC,MFCJNMFM_02927,JIEPOILB_02333,MHMAIFBA_02832,KGLDIDPM_02929,CFOCILDN_00147
gltR_3,gltR_3,HTH-type transcriptional regulator GltR,MFCJNMFM_02713,JIEPOILB_02547,MHMAIFBA_02646,KGLDIDPM_02715,CFOCILDN_00361
xylC,xylC,D-xylonolactone lactonase,MFCJNMFM_02649,JIEPOILB_02611,MHMAIFBA_02583,KGLDIDPM_02651,CFOCILDN_00424
group_502,,hypothetical protein,MFCJNMFM_02444,JIEPOILB_02816,MHMAIFBA_02392,KGLDIDPM_02446,CFOCILDN_00630
dapA_1,dapA_1,4-hydroxy-tetrahydrodipicolinate synthase,MFCJNMFM_01401,JIEPOILB_01402,MHMAIFBA_01443,KGLDIDPM_01399,CFOCILDN_03117
nadK,nadK,NAD kinase,MFCJNMFM_01211,JIEPOILB_01211,MHMAIFBA_01267,KGLDIDPM_01209,CFOCILDN_03975
group_501,,hypothetical protein,MFCJNMFM_01035,JIEPOILB_01035,MHMAIFBA_01032,KGLDIDPM_01034,CFOCILDN_01412
pdxI,pdxI,Pyridoxine 4-dehydrogenase,MFCJNMFM_00899,JIEPOILB_00900,MHMAIFBA_00916,KGLDIDPM_00899,CFOCILDN_01543
ubiV,ubiV,Ubiquinone biosynthesis protein UbiV,MFCJNMFM_00607,JIEPOILB_00608,MHMAIFBA_00559,KGLDIDPM_00607,CFOCILDN_01834
hslO,hslO,33 kDa chaperonin,MFCJNMFM_00388,JIEPOILB_00388,MHMAIFBA_00339,KGLDIDPM_00387,CFOCILDN_04482
dgoK_1,dgoK_1,2-dehydro-3-deoxygalactonokinase,MFCJNMFM_00009,JIEPOILB_00009,MHMAIFBA_00009,KGLDIDPM_00009,CFOCILDN_03767
yijE,yijE,putative cystine transporter YijE,MFCJNMFM_04980,JIEPOILB_04983,MHMAIFBA_04938,KGLDIDPM_04983,CFOCILDN_03825
rffH,rffH,Glucose-1-phosphate thymidylyltransferase 2,MFCJNMFM_04931,JIEPOILB_04934,MHMAIFBA_04890,KGLDIDPM_04934,CFOCILDN_04227
rhaR_3,rhaR_3,HTH-type transcriptional activator RhaR,MFCJNMFM_04369,JIEPOILB_04373,MHMAIFBA_04420,KGLDIDPM_04373,CFOCILDN_01030
gluQ,gluQ,Glutamyl-Q tRNA(Asp) synthetase,MFCJNMFM_04185,JIEPOILB_04189,MHMAIFBA_04233,KGLDIDPM_04189,CFOCILDN_01212
cmpR_1,cmpR_1,HTH-type transcriptional activator CmpR,MFCJNMFM_04097,JIEPOILB_04101,MHMAIFBA_04147,KGLDIDPM_04101,CFOCILDN_04012
crgA_4,crgA_4,HTH-type transcriptional regulator CrgA,MFCJNMFM_03093,JIEPOILB_02167,MHMAIFBA_03071,KGLDIDPM_03097,CFOCILDN_04313
oxyR_2,oxyR_2,DNA-binding transcriptional dual regulator OxyR,MFCJNMFM_02515,JIEPOILB_02745,MHMAIFBA_02460,KGLDIDPM_02517,CFOCILDN_00559
crnA,crnA,Creatinine amidohydrolase,MFCJNMFM_02298,JIEPOILB_02963,MHMAIFBA_02250,KGLDIDPM_02300,CFOCILDN_00775
dapA_2,dapA_2,4-hydroxy-tetrahydrodipicolinate synthase,MFCJNMFM_01878,JIEPOILB_01884,MHMAIFBA_01880,KGLDIDPM_01881,CFOCILDN_02246
